               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.031093,            0.031061,            0.017699,             0.85945,             0.65413,             0.77053,             0.53882,            0.027555,            0.021211,           0.0081034,           0.0099436,           0.0099436,           0.0099436
                  59,            0.031599,            0.031896,            0.017169,              0.8596,             0.65831,             0.77643,             0.57189,            0.026351,            0.020303,            0.007824,           0.0099426,           0.0099426,           0.0099426
                  60,            0.031685,            0.032911,             0.01636,             0.89277,             0.65013,              0.7887,             0.57961,            0.025827,             0.02005,           0.0077883,           0.0099416,           0.0099416,           0.0099416
                  61,            0.031489,            0.032373,            0.016867,             0.88643,             0.63502,             0.77731,             0.58297,            0.024904,            0.019906,            0.007775,           0.0099406,           0.0099406,           0.0099406
                  62,            0.031167,             0.03176,            0.017564,             0.88584,             0.65369,             0.78134,              0.5776,            0.025535,            0.019842,           0.0075346,           0.0099396,           0.0099396,           0.0099396
                  63,            0.031925,            0.030758,            0.017388,              0.8899,              0.6541,             0.77869,               0.575,            0.025874,            0.020035,           0.0078095,           0.0099386,           0.0099386,           0.0099386
                  64,             0.03093,            0.031305,            0.016047,             0.88189,             0.65736,             0.78507,             0.57919,             0.02561,            0.019653,           0.0075546,           0.0099376,           0.0099376,           0.0099376
                  65,             0.03199,            0.029646,            0.016527,             0.89481,             0.65886,             0.80063,             0.60501,            0.024959,            0.019569,           0.0073837,           0.0099366,           0.0099366,           0.0099366
                  66,            0.031216,            0.031313,            0.016288,             0.87103,             0.65919,             0.80332,             0.60139,            0.024761,             0.01958,           0.0072253,           0.0099357,           0.0099357,           0.0099357
                  67,            0.030057,            0.029807,            0.016145,             0.89204,             0.65948,             0.78114,             0.59338,            0.024102,            0.019532,           0.0072933,           0.0099347,           0.0099347,           0.0099347
                  68,            0.030774,            0.032018,            0.014997,             0.88837,              0.6568,             0.80101,              0.5815,             0.02628,            0.019845,             0.00697,           0.0099337,           0.0099337,           0.0099337
                  69,            0.033083,             0.03257,             0.01539,             0.86298,             0.67282,              0.8018,             0.59621,            0.025548,            0.019361,            0.007262,           0.0099327,           0.0099327,           0.0099327
                  70,              0.0316,            0.031017,            0.016841,             0.89993,             0.65984,             0.79596,             0.59592,            0.025525,            0.019244,           0.0070871,           0.0099317,           0.0099317,           0.0099317
                  71,            0.030444,            0.030798,             0.01546,              0.8936,             0.65558,             0.79024,             0.61342,            0.024513,             0.01912,           0.0068662,           0.0099307,           0.0099307,           0.0099307
