               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.029739,            0.025203,            0.014626,             0.92724,             0.69996,             0.78767,             0.60147,            0.023366,            0.015472,           0.0055304,           0.0098436,           0.0098436,           0.0098436
                  81,            0.029032,            0.025613,            0.013324,             0.92756,             0.69498,             0.78869,             0.60774,            0.022906,            0.015847,           0.0056634,           0.0098416,           0.0098416,           0.0098416
                  82,              0.0298,            0.026041,            0.014338,             0.93005,             0.69106,             0.80209,             0.62269,            0.022274,            0.015498,           0.0057344,           0.0098397,           0.0098397,           0.0098397
                  83,            0.029946,            0.025944,            0.014662,             0.92634,             0.69362,             0.80173,             0.61807,            0.022365,            0.015447,           0.0056053,           0.0098377,           0.0098377,           0.0098377
                  84,            0.029121,            0.025275,            0.013825,              0.9296,             0.69918,             0.79885,             0.62333,            0.022397,            0.015456,           0.0054994,           0.0098357,           0.0098357,           0.0098357
                  85,            0.029432,            0.025536,            0.013248,             0.92403,             0.69691,             0.78542,             0.61137,            0.023026,            0.015602,           0.0055886,           0.0098337,           0.0098337,           0.0098337
                  86,            0.030402,            0.026842,            0.013378,             0.91572,             0.69153,             0.79168,             0.61531,            0.022695,            0.015564,             0.00551,           0.0098317,           0.0098317,           0.0098317
                  87,            0.029311,            0.025363,            0.013683,             0.91866,             0.69623,             0.81641,             0.63146,            0.022652,             0.01539,           0.0055737,           0.0098298,           0.0098298,           0.0098298
                  88,             0.02918,             0.02529,            0.014744,             0.92895,              0.6937,             0.81448,             0.63229,            0.022482,            0.015352,           0.0054794,           0.0098278,           0.0098278,           0.0098278
                  89,            0.028103,             0.02503,            0.014169,             0.91928,             0.70426,             0.81307,             0.63499,             0.02175,            0.015342,           0.0053208,           0.0098258,           0.0098258,           0.0098258
                  90,            0.029246,             0.02527,            0.014075,             0.92119,             0.69372,             0.82041,             0.62971,             0.02271,            0.015727,           0.0052298,           0.0098238,           0.0098238,           0.0098238
                  91,            0.029221,            0.025947,            0.013261,             0.91206,             0.70714,             0.80705,             0.63359,            0.021812,            0.015037,           0.0052509,           0.0098218,           0.0098218,           0.0098218
                  92,            0.029133,            0.025233,            0.013761,             0.92063,             0.69674,             0.80651,              0.6249,            0.022252,            0.015106,           0.0051472,           0.0098199,           0.0098199,           0.0098199
                  93,            0.028082,            0.025178,            0.013265,              0.9164,             0.70406,             0.81724,             0.63536,            0.022006,            0.015172,           0.0050908,           0.0098179,           0.0098179,           0.0098179
                  94,            0.028682,            0.025762,            0.013711,             0.91696,             0.71101,             0.82478,             0.64153,            0.022542,            0.015334,           0.0051296,           0.0098159,           0.0098159,           0.0098159
                  95,            0.028995,            0.024098,            0.013399,              0.9131,             0.71106,             0.81939,             0.64154,            0.022419,            0.015123,           0.0049708,           0.0098139,           0.0098139,           0.0098139
                  96,              0.0292,            0.026039,            0.013011,             0.91801,             0.70373,             0.83489,             0.65125,            0.022239,            0.015061,           0.0051895,           0.0098119,           0.0098119,           0.0098119
                  97,            0.028806,            0.025651,            0.012662,             0.92309,             0.70814,             0.84117,             0.66636,             0.02183,            0.015063,           0.0050476,             0.00981,             0.00981,             0.00981
                  98,            0.029063,            0.024171,            0.013115,              0.9325,             0.69561,             0.83058,             0.64026,            0.022172,             0.01548,            0.004957,            0.009808,            0.009808,            0.009808
                  99,            0.029178,            0.024401,            0.012264,             0.91879,             0.69813,             0.83399,             0.65585,            0.022428,            0.015429,           0.0050354,            0.009806,            0.009806,            0.009806
                 100,            0.030303,            0.026293,            0.011841,             0.92386,             0.70524,             0.82837,             0.63445,            0.023231,            0.015408,           0.0051209,            0.009804,            0.009804,            0.009804
                 101,            0.028158,            0.024974,            0.013002,             0.92011,             0.71104,             0.84272,             0.66274,             0.02168,            0.015071,           0.0049675,            0.009802,            0.009802,            0.009802
                 102,            0.028866,            0.025187,            0.011659,             0.92327,             0.70476,             0.83165,             0.64657,            0.021891,            0.015042,           0.0049213,           0.0098001,           0.0098001,           0.0098001
                 103,            0.028767,            0.024543,             0.01189,             0.92757,             0.70379,             0.84139,             0.65535,            0.022209,             0.01502,           0.0049503,           0.0097981,           0.0097981,           0.0097981
                 104,            0.028889,            0.025042,            0.013469,             0.93288,             0.70641,             0.85566,             0.66741,            0.021547,             0.01506,            0.004905,           0.0097961,           0.0097961,           0.0097961
                 105,            0.029222,            0.024091,             0.01206,             0.92249,             0.70439,             0.84824,             0.65893,            0.023039,            0.015012,           0.0048693,           0.0097941,           0.0097941,           0.0097941
                 106,            0.029318,             0.02576,            0.013906,             0.94451,             0.69805,             0.84971,             0.66513,            0.021622,            0.014787,           0.0048997,           0.0097921,           0.0097921,           0.0097921
                 107,            0.029262,            0.024512,            0.012399,             0.90934,             0.71373,             0.84918,             0.67698,            0.022118,            0.014983,           0.0048164,           0.0097902,           0.0097902,           0.0097902
                 108,            0.028114,            0.024338,            0.013201,             0.91191,             0.70823,             0.84835,             0.66845,            0.021943,            0.014811,           0.0048558,           0.0097882,           0.0097882,           0.0097882
                 109,            0.029349,            0.024867,            0.013047,             0.92671,             0.70117,             0.85545,             0.68052,            0.021381,            0.014815,           0.0050892,           0.0097862,           0.0097862,           0.0097862
                 110,            0.029364,            0.024891,            0.012367,              0.8935,             0.71299,             0.85845,             0.65921,            0.022367,            0.015018,           0.0050228,           0.0097842,           0.0097842,           0.0097842
                 111,            0.030097,            0.025576,            0.012173,             0.89762,             0.71692,             0.83682,             0.64647,            0.022736,            0.015046,           0.0050109,           0.0097822,           0.0097822,           0.0097822
                 112,            0.028945,            0.024125,            0.012925,             0.92843,             0.70596,             0.85634,             0.67319,            0.022048,            0.014935,           0.0047426,           0.0097803,           0.0097803,           0.0097803
                 113,             0.02775,            0.024036,            0.011988,             0.91637,               0.721,             0.86015,             0.68068,            0.020935,            0.014559,           0.0045856,           0.0097783,           0.0097783,           0.0097783
                 114,            0.028634,            0.024582,            0.012361,             0.93757,             0.70616,               0.859,             0.66644,            0.022271,            0.014965,           0.0046486,           0.0097763,           0.0097763,           0.0097763
                 115,            0.029503,            0.025728,            0.012605,             0.91623,             0.71881,             0.84417,             0.67155,            0.021336,             0.01466,           0.0045703,           0.0097743,           0.0097743,           0.0097743
                 116,            0.028385,            0.024167,            0.012163,             0.93822,              0.7117,             0.85663,             0.68295,            0.020845,            0.014514,            0.004521,           0.0097723,           0.0097723,           0.0097723
                 117,            0.028575,            0.024852,            0.011646,             0.91977,             0.71608,             0.87225,             0.69076,            0.021398,             0.01444,           0.0045656,           0.0097704,           0.0097704,           0.0097704
                 118,            0.028498,            0.024742,            0.011695,             0.93029,              0.7151,             0.86083,              0.6768,             0.02143,            0.014785,           0.0044996,           0.0097684,           0.0097684,           0.0097684
                 119,            0.029066,            0.024413,            0.012486,             0.91162,             0.71752,             0.85154,              0.6878,            0.021808,            0.014503,           0.0046372,           0.0097664,           0.0097664,           0.0097664
                 120,            0.028774,            0.025029,            0.011937,             0.92231,             0.70695,             0.86714,             0.68403,            0.021241,            0.014368,           0.0044277,           0.0097644,           0.0097644,           0.0097644
                 121,            0.029279,             0.02461,            0.011309,             0.93467,             0.71475,             0.86719,             0.67704,            0.021826,            0.014405,            0.004395,           0.0097624,           0.0097624,           0.0097624
                 122,            0.029283,            0.024441,            0.012492,             0.93496,             0.71312,             0.87167,             0.69798,            0.020589,            0.014349,           0.0044519,           0.0097605,           0.0097605,           0.0097605
                 123,            0.028229,            0.024097,             0.01178,             0.91936,             0.72491,             0.86845,             0.68215,            0.021406,            0.014579,            0.004372,           0.0097585,           0.0097585,           0.0097585
                 124,            0.028513,            0.023861,            0.012572,             0.91945,              0.7144,               0.883,             0.69925,            0.020557,            0.014309,           0.0043705,           0.0097565,           0.0097565,           0.0097565
                 125,            0.028249,            0.024199,            0.011009,             0.92928,             0.71705,             0.87686,             0.70357,            0.020569,            0.014303,           0.0042529,           0.0097545,           0.0097545,           0.0097545
